prompt,model,model_family,model_output,yes_prob,no_prob,relative_prob
"Is a ""screenshot"" a ""photograph""?",allenai/tk-instruct-3b-def,tk,No,0.1660814732313156,0.830355167388916,0.1666753975726326
"Is ""advising"" someone ""instructing"" them?",allenai/tk-instruct-3b-def,tk,No,0.2205511629581451,0.7758367657661438,0.2213506974542783
"Is an ""algorithm"" a ""procedure""?",allenai/tk-instruct-3b-def,tk,No,0.2787254154682159,0.7173326015472412,0.2798284946326481
"Is a ""drone"" an ""aircraft""?",allenai/tk-instruct-3b-def,tk,No,0.1840433925390243,0.812037467956543,0.1847675222345499
"Is ""reading aloud"" a form of ""performance""?",allenai/tk-instruct-3b-def,tk,No,0.2996276021003723,0.6966550350189209,0.3007455825655379
"Is ""training"" an AI model ""authoring"" content?",allenai/tk-instruct-3b-def,tk,No,0.1727839410305023,0.8243061304092407,0.1732881973049955
"Is a ""wedding"" a ""party""?",allenai/tk-instruct-3b-def,tk,No,0.1746127158403396,0.8201157450675964,0.1755380716471732
"Is ""streaming"" a video ""broadcasting"" that video?",allenai/tk-instruct-3b-def,tk,No,0.2473761588335037,0.7501588463783264,0.2479874465968966
"Is ""braiding"" hair a form of ""weaving""?",allenai/tk-instruct-3b-def,tk,No,0.1627955883741378,0.8332285284996033,0.1634454282945583
"Is ""digging"" a form of ""construction""?",allenai/tk-instruct-3b-def,tk,No,0.2160461694002151,0.7780121564865112,0.217337518105385
"Is a ""smartphone"" a ""computer""?",allenai/tk-instruct-3b-def,tk,No,0.2230704873800277,0.7725334167480469,0.2240554566480807
"Is a ""cactus"" a ""tree""?",allenai/tk-instruct-3b-def,tk,No,0.128850907087326,0.8668847680091858,0.1294027223387744
"Is a ""bonus"" a form of ""wages""?",allenai/tk-instruct-3b-def,tk,No,0.2034535408020019,0.7921990156173706,0.2043419057082263
"Is ""forwarding"" an email ""sending"" that email?",allenai/tk-instruct-3b-def,tk,No,0.2742145955562591,0.7224592566490173,0.2751297176599165
"Is a ""chatbot"" a ""service""?",allenai/tk-instruct-3b-def,tk,No,0.2046252340078354,0.7905608415603638,0.2056150493172898
