question,gpt_response,gpt_yes_prob,gpt_no_prob,gpt_relative_prob,gpt_confidence,gpt_weighted_confidence,gemini_response,gemini_yes_prob,gemini_no_prob,gemini_relative_prob,gemini_confidence,gemini_weighted_confidence,claude_response,claude_confidence,random_response,random_yes_prob,random_no_prob,random_relative_prob,random_confidence
"Is a ""screenshot"" a ""photograph""?",No,1.0891335424775221e-05,6.399909418758042e-09,0.999412730331349,0,0.5213055344708598,Yes,9.748413626571194e-09,2.1231491626236646e-05,0.00045893806615227955,95,94.25548790068186,No,15,,0.5,0.5,0.5,
"Is ""advising"" someone ""instructing"" them?",No,0.0014028645859754552,1.3287036185031194e-08,0.9999905287292353,75,73.55401538236843,No,5.652807012612604e-07,4.226553648671555e-08,0.9304323953294757,75,70.98351731679531,No,20,,0.5,0.5,0.5,
"Is an ""algorithm"" a ""procedure""?",Yes,1.1460792207442112e-08,4.7273772587396395e-06,0.002418481510494247,100,99.98661016859477,Yes,1.4391244469549758e-07,1.718868710274529e-05,0.008302992537362735,95,94.82992846159863,Yes,95,,0.5,0.5,0.5,
"Is a ""drone"" an ""aircraft""?",Yes,1.9835927962116888e-08,1.6511657572066887e-06,0.011870681004198419,100,99.96845887443352,Yes,5.2190672524829815e-08,5.272519141859528e-07,0.09007048104815907,100,99.99738684189529,Yes,95,,0.5,0.5,0.5,
"Is ""reading aloud"" a form of ""performance""?",Yes,1.9226948005574966e-08,3.2888322348797585e-06,0.0058121535748356734,100,99.52857099211782,Yes,3.867209102175644e-08,6.011997877851984e-10,0.9846918917311831,95,93.56021259634834,Yes,85,,0.5,0.5,0.5,
"Is ""training"" an AI model ""authoring"" content?",No,0.00027548124718005973,2.0145135340670566e-08,0.9999268782811899,50,46.78588903176448,No,2.180634128601097e-05,4.2136245266205705e-09,0.9998068080090624,60,40.867302123235795,No,20,,0.5,0.5,0.5,
"Is a ""wedding"" a ""party""?",Yes,3.2567596997780534e-08,0.27102589748309763,1.2016413703179196e-07,75,80.10998141616695,Yes,8.018203339885358e-08,2.121520773687435e-06,0.03641819102050639,95,93.35519610730225,Yes,75,,0.5,0.5,0.5,
"Is ""streaming"" a video ""broadcasting"" that video?",No,2.4978759330390383e-08,0.7663123153106874,3.259605518156678e-08,75,77.0569026483292,Yes,4.289887141918804e-08,0.022472780695117683,1.90892218059605e-06,95,93.63714956549795,No,75,,0.5,0.5,0.5,
"Is ""braiding"" hair a form of ""weaving""?",Yes,6.217368484211014e-08,3.706339544780212e-08,0.6265166675649392,75,74.95590517820321,Yes,9.298081074158139e-09,6.495652063068851e-09,0.5887196518625403,95,92.73426705857183,Yes,85,,0.5,0.5,0.5,
"Is ""digging"" a form of ""construction""?",Yes,1.3598722261206338e-08,0.030147589778982485,4.510714198682569e-07,75,75.85626681769804,No,4.927177756832048e-08,2.493285140961148e-07,0.16500914079377968,75,72.54436787101108,No,20,,0.5,0.5,0.5,
"Is a ""smartphone"" a ""computer""?",Yes,1.0485809185855753e-08,1.4938873032367918e-07,0.06558773659661037,100,99.997224547037,Yes,5.3680129550114607e-08,2.1271903047667932e-07,0.2015026231490954,100,100.00007103178798,Yes,100,,0.5,0.5,0.5,
"Is a ""cactus"" a ""tree""?",No,3.01720394941762e-06,6.202062121206201e-09,0.9979486505955415,0,4.591102470681998,No,1.01398363773336e-05,9.906953868659678e-09,0.9990239207489904,10,15.485840563357545,No,5,,0.5,0.5,0.5,
"Is a ""bonus"" a form of ""wages""?",Yes,3.637504042918914e-08,0.07401660641062109,4.914440733893392e-07,75,80.8248574558672,Yes,3.252042937783776e-07,8.923408360810884e-09,0.9732934195408508,95,94.94881615275546,Yes,95,,0.5,0.5,0.5,
"Is ""forwarding"" an email ""sending"" that email?",Yes,2.963837092717929e-08,0.019717494335007853,1.503148720254883e-06,100,99.89045713617577,No,1.3530279679988488e-08,6.355778949056689e-09,0.6803902136860059,95,93.36526808926914,Yes,85,,0.5,0.5,0.5,
"Is a ""chatbot"" a ""service""?",Yes,1.7627158987594985e-08,0.00029784867572895437,5.917809036031298e-05,100,98.81917796779864,Yes,2.3100221874641545e-08,4.339026845226997e-10,0.9815628287582197,95,65.81247261799734,Yes,85,,0.5,0.5,0.5,
"Is ""plagiarism"" a form of ""theft""?",No,2.5473529060881452e-08,3.679131592198943e-08,0.4091157549318439,75,69.38056101454944,Yes,8.846724028989285e-09,3.015463069264528e-05,0.0002932925772046046,95,94.25011274137965,No,30,,0.5,0.5,0.5,
"Is ""remote viewing"" of an event ""attending"" it?",No,1.9675802041373336e-05,1.3741642717282945e-08,0.9993020842464528,0,0.02747804194071238,No,1.1620019321672511e-08,1.7777136320633171e-09,0.8673123551423214,0,0.3227660870526015,No,20,,0.5,0.5,0.5,
"Is ""whistling"" a form of ""music""?",Yes,2.00698128308257e-08,1.5662411205406376e-06,0.012651878272168468,100,99.82404636392017,Yes,1.0335867374163209e-08,1.6792374490966444e-10,0.9840130346266361,90,89.9666508913865,Yes,95,,0.5,0.5,0.5,
"Is ""caching"" data in computer memory ""storing"" that data?",Yes,1.1954739814643186e-08,4.5691329707506475e-05,0.0002615728816694247,100,99.9109813940583,Yes,1.563503647743019e-07,3.695793968043421e-08,0.8088134920810499,100,99.99828545296346,Yes,95,,0.5,0.5,0.5,
"Is a ""waterway"" a form of ""roadway""?",No.,1.0974743177063318e-05,4.454116999704112e-09,0.9995943130558267,0,0.12924544688636128,No,4.626793013389383e-06,2.2330040278570025e-09,0.99951760823563,1,11.371204013941037,No,0,,0.5,0.5,0.5,
"Is a ""deepfake"" a ""portrait""?",No,0.00022651372926991084,2.3242531089154742e-08,0.9998974007160757,50,33.887453402739816,No,0.004861399642593972,1.52230386443356e-08,0.9999968685991495,75,70.10517332026023,No,75,,0.5,0.5,0.5,
"Is ""humming"" a form of ""singing""?",Yes,1.0237882764422257e-08,0.0003070920555846831,3.333704430803106e-05,85,84.50189461785712,Yes,1.619791830887505e-08,1.6562207400627854e-06,0.009685325039751736,95,92.63154003925328,Yes,75,,0.5,0.5,0.5,
"Is ""liking"" a social media post ""endorsing"" it?",No,2.9709410187244663e-08,8.908544184528167e-09,0.7693160000458303,75,73.2453136492579,No,0.0007987900332734976,1.502262987152267e-08,0.9999811936219476,75,72.11257373169997,No,65,,0.5,0.5,0.5,
"Is ""herding"" animals a form of ""transporting"" them?",Yes,3.6521233710979436e-08,2.1774854417362453e-08,0.626478291829394,75,77.76043450242571,Yes,1.0967839056319035e-08,5.1824641415373325e-06,0.0021118672772268256,95,94.63895811575031,Yes,75,,0.5,0.5,0.5,
