id,question,n,mean,sd,median,iqr,pct_0_25,pct_26_50,pct_51_75,pct_76_100
Q1,"Is a ""screenshot"" a ""photograph""?",90,55.388888888888886,35.20747317389998,58.5,68.0,27.77777777777778,17.77777777777778,12.222222222222221,42.22222222222222
Q2,"Is ""advising"" someone ""instructing"" them?",91,58.24175824175824,29.999385423090352,60.0,49.0,15.384615384615385,23.076923076923077,28.57142857142857,32.967032967032964
Q3,"Is an ""algorithm"" a ""procedure""?",91,54.2967032967033,28.636222013967053,57.0,47.0,23.076923076923077,20.87912087912088,25.274725274725274,30.76923076923077
Q4,"Is a ""drone"" an ""aircraft""?",91,76.32967032967034,26.28098380750062,88.0,38.5,6.593406593406594,10.989010989010989,20.87912087912088,61.53846153846154
Q5,"Is ""reading aloud"" a form of ""performance""?",91,64.75824175824175,28.556120441194647,70.0,31.0,15.384615384615385,8.791208791208792,28.57142857142857,47.25274725274725
Q6,"Is ""training"" an AI model ""authoring"" content?",91,39.956043956043956,30.756358723906214,50.0,55.5,41.75824175824176,19.78021978021978,23.076923076923077,15.384615384615385
Q7,"Is a ""wedding"" a ""party""?",91,69.45054945054945,27.402458825710323,77.0,38.5,7.6923076923076925,15.384615384615385,24.175824175824175,52.74725274725275
Q8,"Is ""streaming"" a video ""broadcasting"" that video?",90,64.13333333333334,32.919445433367336,77.5,56.0,22.22222222222222,8.88888888888889,16.666666666666664,52.22222222222223
Q9,"Is ""braiding"" hair a form of ""weaving""?",91,72.63736263736264,26.937588972172318,80.0,47.0,6.593406593406594,14.285714285714285,23.076923076923077,56.043956043956044
Q10,"Is ""digging"" a form of ""construction""?",90,62.611111111111114,26.893754525157426,61.0,35.5,11.11111111111111,26.666666666666668,26.666666666666668,35.55555555555556
Q11,"Is a ""smartphone"" a ""computer""?",87,70.72413793103448,32.00206739512541,80.0,44.5,12.643678160919542,10.344827586206897,19.54022988505747,57.47126436781609
Q12,"Is a ""cactus"" a ""tree""?",86,34.33720930232558,27.282233160759223,29.0,42.5,45.348837209302324,23.25581395348837,23.25581395348837,8.13953488372093
Q13,"Is a ""bonus"" a form of ""wages""?",87,68.11494252873563,29.567984448675627,74.0,49.5,12.643678160919542,19.54022988505747,18.39080459770115,49.42528735632184
Q14,"Is ""forwarding"" an email ""sending"" that email?",87,78.86206896551724,27.109241715091947,88.0,30.5,6.896551724137931,8.045977011494253,13.793103448275861,71.26436781609196
Q15,"Is a ""chatbot"" a ""service""?",86,72.62790697674419,21.71962869990721,75.0,33.5,2.3255813953488373,15.11627906976744,36.04651162790697,46.51162790697674
Q16,"Is ""plagiarism"" a form of ""theft""?",87,88.89655172413794,16.899177414106763,99.0,19.5,1.1494252873563218,1.1494252873563218,17.24137931034483,80.45977011494253
Q17,"Is ""remote viewing"" of an event ""attending"" it?",86,35.674418604651166,30.62196130824877,30.0,54.25,46.51162790697674,22.093023255813954,17.441860465116278,13.953488372093023
Q18,"Is ""whistling"" a form of ""music""?",86,72.30232558139535,27.552759984497705,80.0,47.0,5.813953488372093,16.27906976744186,25.581395348837212,52.32558139534884
Q19,"Is ""caching"" data in computer memory ""storing"" that data?",87,75.183908045977,24.430503586291838,80.0,32.5,8.045977011494253,5.747126436781609,24.137931034482758,62.06896551724138
Q20,"Is a ""waterway"" a form of ""roadway""?",86,28.46511627906977,28.193323228952675,20.5,49.75,56.97674418604651,18.6046511627907,17.441860465116278,6.976744186046512
Q21,"Is a ""deepfake"" a ""portrait""?",89,23.089887640449437,26.52727603525979,17.0,40.0,66.29213483146067,17.97752808988764,8.98876404494382,6.741573033707865
Q22,"Is ""humming"" a form of ""singing""?",89,66.28089887640449,29.310635970599844,71.0,41.0,11.235955056179774,15.730337078651685,31.46067415730337,41.57303370786517
Q23,"Is ""liking"" a social media post ""endorsing"" it?",89,70.31460674157303,28.922150800828476,76.0,49.0,8.98876404494382,19.101123595505616,20.224719101123593,51.68539325842697
Q24,"Is ""herding"" animals a form of ""transporting"" them?",89,57.87640449438202,33.26676618458698,62.0,53.0,20.224719101123593,17.97752808988764,22.47191011235955,39.325842696629216
Q25,"Is an ""NFT"" a ""security""?",89,31.078651685393258,29.24940742177567,30.0,50.0,48.31460674157304,28.08988764044944,16.853932584269664,6.741573033707865
Q26,"Is ""sleeping"" an ""activity""?",89,72.34831460674157,31.814841135001014,86.0,50.0,11.235955056179774,15.730337078651685,14.606741573033707,58.42696629213483
Q27,"Is a ""driverless car"" a ""motor vehicle operator""?",89,42.47191011235955,34.96949641136623,41.0,62.0,41.57303370786517,19.101123595505616,16.853932584269664,22.47191011235955
Q28,"Is a ""subscription fee"" a form of ""purchase""?",89,83.49438202247191,24.88296404968377,96.0,20.0,5.617977528089887,6.741573033707865,11.235955056179774,76.40449438202246
Q29,"Is ""mentoring"" someone a form of ""supervising"" them?",89,59.842696629213485,30.0147308062696,65.0,34.0,15.730337078651685,14.606741573033707,33.70786516853933,35.95505617977528
Q30,"Is a ""biometric scan"" a form of ""signature""?",89,64.06741573033707,30.49657125019772,69.0,43.0,12.359550561797752,21.34831460674157,22.47191011235955,43.82022471910113
Q31,"Is a ""digital wallet"" a ""bank account""?",86,46.174418604651166,35.03483706943037,42.0,64.0,32.55813953488372,24.418604651162788,15.11627906976744,27.906976744186046
Q32,"Is ""dictation"" a form of ""writing""?",86,58.55813953488372,33.300275445305886,68.5,54.25,23.25581395348837,16.27906976744186,16.27906976744186,44.18604651162791
