,GPT-4.1,Gemini,Claude
"Is a ""screenshot"" a ""photograph""?",0.32166661510588535,0.553888888888889,0.40388888888888896
"Is ""advising"" someone ""instructing"" them?",0.29858776182822744,0.4824175824175825,0.38241758241758245
"Is an ""algorithm"" a ""procedure""?",0.347447535320644,0.45703296703296703,0.407032967032967
"Is a ""drone"" an ""aircraft""?",0.23670274320490703,0.2367032967032966,0.18670329670329655
"Is ""reading aloud"" a form of ""performance""?",0.29586958694598764,0.33241758241758246,0.20241758241758245
"Is ""training"" an AI model ""authoring"" content?",0.2546212243941476,0.3995604395604396,0.19956043956043956
"Is a ""wedding"" a ""party""?",0.07833373770057062,0.3054945054945055,0.05549450549450552
"Is ""streaming"" a video ""broadcasting"" that video?",0.05776147968606615,0.2586666666666667,0.10866666666666669
"Is ""braiding"" hair a form of ""weaving""?",0.025503083407013905,0.6263736263736265,0.12362637362637352
"Is ""digging"" a form of ""construction""?",0.2239114025779243,0.27388888888888885,0.12388888888888883
"Is a ""smartphone"" a ""computer""?",0.29275821804474855,0.2927586206896552,0.2927586206896552
"Is a ""cactus"" a ""tree""?",0.3258617978782647,0.34337209302325583,0.29337209302325584
"Is a ""bonus"" a form of ""wages""?",0.2712140548996307,0.31885057471264366,0.2688505747126436
"Is ""forwarding"" an email ""sending"" that email?",0.14434356392520764,0.21137931034482738,0.061379310344827354
"Is a ""chatbot"" a ""service""?",0.17200900896142102,0.26372093023255816,0.12372093023255815
"Is ""plagiarism"" a form of ""theft""?",0.19248715003629524,0.2889655172413792,0.5889655172413792
"Is ""remote viewing"" of an event ""attending"" it?",0.2673282667886559,0.35674418604651165,0.15674418604651164
"Is ""whistling"" a form of ""music""?",0.2259540604700141,0.22697674418604652,0.22697674418604652
"Is ""caching"" data in computer memory ""storing"" tha...",0.19236238555812513,0.2481609195402299,0.19816091954022985
"Is a ""waterway"" a form of ""roadway""?",0.13162117652640024,0.2846511627906977,0.2846511627906977
"Is a ""deepfake"" a ""portrait""?",0.1573638132997113,0.6691011235955057,0.5191011235955056
"Is ""humming"" a form of ""singing""?",0.28733510959193465,0.3371910112359551,0.08719101123595507
"Is ""liking"" a social media post ""endorsing"" it?",0.3692775814183319,0.30314606741573025,0.05314606741573025
