StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent question,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q2_9,Q2_10,Q2_11,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,ID Question,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"CONSENT
By clicking ""I agree to participate"" below, you confirm that:
- You are at least 18 years old
- You have read and understood this information
- You voluntarily agree to participate in this research study","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""typing"" a form of ""speech""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""charging"" an electric vehicle ""refueling"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""billboard"" a ""structure""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""littering"" a form of ""vandalism""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""memorizing"" a type of ""learning""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""paraphrasing"" text ""copying"" it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""vending machine"" a ""retailer""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""windmill"" a ""machine""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is “biodegradable plastic"" an “organic material”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""cave"" a ""structure""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""canyon"" a ""valley""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""bartering"" a type of ""sale""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""birdcage"" a ""habitat""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""chewing gum"" a ""food""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""hammock"" a ""bed""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a “deepfake video” a “recording”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""moat"" a ""barrier""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""donation"" a ""payment""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""bridge"" a ""road""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""pond"" a ""lake""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a “hoverboard” a “vehicle”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""volunteering"" a form of ""donation""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""voice memo"" a ""document""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""podcast"" a ""publication""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""meme"" a ""statement""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""sundial"" a type of ""clock""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""stretching"" a form of ""exercise""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""basement"" a ""story"" of a building?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""virus"" a ""living organism""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""fasting"" a form of ""diet""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""composting"" a form of ""waste disposal""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""garden gnome"" a form of ""art""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""silence"" a form of ""communication""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""picnic table"" an item of ""furniture""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""carport"" a ""building""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""parking lot"" a ""facility""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""raft"" a type of ""boat""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is “wearing” a smartwatch “carrying” it?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""jigsaw puzzle"" a ""toy""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a “Fitbit” a “medical device”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""livestream"" an ""event""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is “virtual reality” a “place”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""hibernation"" a form of ""sleep""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is ""knitting"" a form of ""sewing""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""smart thermostat"" a ""home appliance""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""dock"" a ""structure""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""skylight"" a ""window""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Does 2+2 = 4?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a ""digital avatar"" a ""likeness""?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is a “chatroom” a “public place”?","Answer each of the following questions using the slider to reflect how confident you are in your response. 

For each question, Left = No, Right = Yes. - Is an ""algorithmic recommendation"" an ""editorial decision""?","What is your Prolific ID?
Please note that this response should auto-fill with the correct ID",PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID4_11""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID5_11""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID7_11""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_6""}","{""ImportId"":""QID8_7""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID8_9""}","{""ImportId"":""QID8_10""}","{""ImportId"":""QID8_11""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2025-10-05 07:17:28,2025-10-05 07:17:51,IP Address,24.218.81.202,100,22,True,2025-10-05 07:17:51,R_11VtUNeAqdjVapj,,,,,42.3649,-71.0987,anonymous,EN,I agree to participate,,,,,,,,,,,,39,55,82,40,49,49,57,0,62,59,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880be7ff8ea5ce407c3a061
2025-10-05 07:21:49,2025-10-05 07:22:41,IP Address,142.129.107.45,100,51,True,2025-10-05 07:22:41,R_1ztGzDEueyag2mV,,,,,34.0286,-117.8103,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,50,99,73,40,37,85,98,70,50,34,,663d8f0edfd87b4c1f590b99
2025-10-05 07:22:32,2025-10-05 07:23:25,IP Address,68.103.131.132,100,53,True,2025-10-05 07:23:26,R_7lywEApWoTeoIzw,,,,,38.3746,-97.673,anonymous,EN,I agree to participate,76,84,51,79,73,32,68,100,80,91,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608bfa04767191aa4d57bfd8
2025-10-05 07:22:34,2025-10-05 07:23:38,IP Address,24.16.249.143,100,64,True,2025-10-05 07:23:39,R_5Vx3pfl66YOOGVg,,,,,47.7027,-117.3702,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,90,50,60,90,98,89,99,40,50,80,,5dc483cf74939e34e55c3619
2025-10-05 07:22:37,2025-10-05 07:23:56,IP Address,24.154.161.75,100,78,True,2025-10-05 07:23:56,R_1DwkOq0gegJDngZ,,,,,41.022,-80.6659,anonymous,EN,I agree to participate,40,80,70,30,70,70,60,100,90,80,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672c7f537c4a19882d6f9e15
2025-10-05 07:22:42,2025-10-05 07:23:59,IP Address,172.56.79.232,100,76,True,2025-10-05 07:24:00,R_67s4OuYcMpQ6HlH,,,,,28.4932,-81.2878,anonymous,EN,I agree to participate,,,,,,,,,,,,50,100,10,0,30,0,70,100,51,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6234b2b5e6b80ea7060d458a
2025-10-05 07:22:57,2025-10-05 07:24:05,IP Address,73.216.154.202,100,68,True,2025-10-05 07:24:06,R_3pJqvz7BoCRljAm,,,,,37.5702,-77.4239,anonymous,EN,I agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,30,100,100,28,10,69,100,100,100,11,,,,,,,,,,,,,67a745a370ec5dc821194d3d
2025-10-05 07:23:28,2025-10-05 07:24:21,IP Address,86.109.85.84,100,53,True,2025-10-05 07:24:21,R_5po0anQPeo6Iepz,,,,,35.2945,-78.0283,anonymous,EN,I agree to participate,,,,,,,,,,,,54,72,70,77,67,71,67,53,53,51,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67246794a85893f571f01fcc
