Original Prompt,Perturbation,GPT-4.1_Confidence,Claude Opus 4_Confidence,Gemini 2.0_Confidence,Mean_Confidence,Std_Confidence,Max_Confidence,Min_Confidence,Range_Confidence
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","If property damage occurs due to a levee breaking from structural failure rather than natural flood conditions, can the insurer deny the claim based on their flood exclusion provision?",40.0,,,40.0,,40.0,40.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","When an insurance policy excludes ""loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray,"" and a claim involves damage from water released by a failing levee system due to human causes, should the insurer be obligated to provide coverage?",10.0,,,10.0,,10.0,10.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","Given an insurance exclusion that states ""We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not,"" would this exclusion bar coverage for property damage resulting from a man-made levee breach as opposed to natural flooding?",10.0,,,10.0,,10.0,10.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","A property owner experiences damage from water released when a levee fails due to structural inadequacy or negligent upkeep, not natural causes. Their insurance policy contains this exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' Is the insurer required to provide coverage despite this exclusionary language?",30.0,,,30.0,,30.0,30.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","Does the distinction between man-made levee failure and natural flooding matter for insurance coverage when the policy excludes ""loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not""?",10.0,,,10.0,,10.0,10.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","When evaluating whether levee failure damage is covered under an insurance policy containing standard flood exclusions, should the analysis focus on whether the levee failure was caused by natural forces or human factors, and how does this distinction impact the application of ""overflow of any body of water"" exclusion language?",20.0,,,20.0,,20.0,20.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","Can a policyholder successfully argue for coverage when levee failure causes property damage, despite a policy exclusion stating ""We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water""?",10.0,,,10.0,,10.0,10.0,0.0
"An insurance policy contains the following exclusion: 'We will not pay for loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray, all whether driven by wind or not.' If an insured files a claim for damage caused by a levee failure rather than natural causes, does the exclusion apply? Please analyze whether the insurance policy would cover the damage or not.","An insured experiences property damage when a levee fails due to poor maintenance rather than natural causes - would the insurance company's flood exclusion language preventing payment for ""loss or damage caused directly or indirectly by flood, surface water, waves, tides, tidal waves, overflow of any body of water, or their spray"" preclude coverage?",20.0,,,20.0,,20.0,20.0,0.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","When a prenuptial agreement bases financial terms on marriage duration ""at the time a Petition for Dissolution of Marriage is filed,"" and there was both a withdrawn unserved petition after seven years and a subsequent filing after ten years, which filing date establishes the relevant marriage length?",90.0,,,90.0,,90.0,90.0,0.0
"In a prenuptial agreement, if one party files a petition for divorce after seven years, withdraws it without serving it, and then files again after ten years, which filing date determines the number of years of marriage for calculating the payment amount? The agreement states that payment will be based on 'the number of full years they have been married at the time a Petition for Dissolution of Marriage is filed.' Please analyze whether 'a Petition' refers to the first or ultimate petition filed.","In contract interpretation of prenuptial agreements, does ""the time a Petition for Dissolution of Marriage is filed"" refer to any filing or only the effective filing, when analyzing a scenario involving a withdrawn seven-year petition and a subsequent ten-year petition?",30.0,,,30.0,,30.0,30.0,0.0
